Date,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,^IRX
2000-01-03,91.61705017089844,7.260402202606201,6.699407577514648,11.147913932800293,18.125661849975586,20.65203094482422,12.207152366638184,5.55159854888916,20.5247802734375,11.173431396484375,5.269999980926514
2000-01-04,88.03425598144531,7.190507411956787,6.573298454284668,10.66057300567627,17.624897003173828,19.60429573059082,11.8634033203125,5.384136199951172,20.05902671813965,10.837303161621094,5.269999980926514
2000-01-05,88.19178009033203,7.4875640869140625,6.7466959953308105,10.57681941986084,17.546348571777344,19.313261032104492,12.07300090789795,5.520003318786621,19.87908172607422,10.70401382446289,5.269999980926514
2000-01-06,86.77439880371094,7.679774761199951,7.006783485412598,11.04130744934082,17.782007217407227,18.6729793548584,12.299367904663086,5.510526180267334,19.942590713500977,10.825708389282227,5.239999771118164
2000-01-07,91.81393432617188,7.6754045486450195,7.081666469573975,11.224061965942383,18.459501266479492,18.99894142150879,13.07908821105957,5.557924270629883,20.18604278564453,11.335704803466797,5.21999979019165
2000-01-10,92.12889099121094,7.649197578430176,7.022552013397217,11.026078224182129,18.459501266479492,19.720712661743164,12.785642623901367,5.576878070831299,22.25017547607422,11.27774429321289,5.230000019073486
2000-01-11,91.02650451660156,7.557457447052002,7.030429840087891,10.843330383300781,18.22385597229004,19.161911010742188,12.785642623901367,5.516843318939209,21.657386779785156,11.213997840881348,5.269999980926514
2000-01-12,90.12095642089844,7.448245525360107,6.998908042907715,11.056539535522461,18.007827758789062,19.080427169799805,12.852718353271484,5.459967613220215,21.29749298095703,11.150250434875488,5.28000020980835
2000-01-13,91.3414535522461,7.478825092315674,7.121072769165039,11.391587257385254,18.351491928100586,19.25504493713379,12.91978645324707,5.409411430358887,21.9326171875,11.208205223083496,5.21999979019165
2000-01-14,92.58162689208984,7.426406383514404,7.077723026275635,11.658102989196777,18.22385597229004,19.697429656982422,12.96171760559082,5.453648090362549,21.742067337036133,11.179232597351074,5.25
2000-01-18,91.85328674316406,7.247297763824463,7.164421081542969,11.269746780395508,18.204212188720703,19.802200317382812,12.743728637695312,5.431530952453613,21.339834213256836,11.115483283996582,5.230000019073486
2000-01-19,92.60133361816406,7.107501983642578,7.140776634216309,11.231677055358887,18.145313262939453,19.837129592895508,12.835943222045898,5.434691905975342,21.847930908203125,11.092294692993164,5.349999904632568
2000-01-20,91.18396759033203,6.919662952423096,7.140776634216309,11.026078224182129,18.02747917175293,19.95353889465332,12.659894943237305,5.459967613220215,21.678569793701172,10.941619873046875,5.300000190734863
2000-01-21,90.98710632324219,6.950244426727295,7.337817668914795,10.88901424407959,17.801637649536133,19.976821899414062,12.517354011535645,5.636911392211914,21.636228561401367,10.715603828430176,5.300000190734863
2000-01-24,88.40827941894531,6.766765594482422,7.077723026275635,10.691039085388184,17.291048049926758,19.324893951416016,12.156845092773438,5.561079978942871,20.990522384643555,10.31572151184082,5.329999923706055
2000-01-25,89.41224670410156,6.640074729919434,7.0619587898254395,10.805252075195312,17.192867279052734,19.73817253112793,12.005925178527832,5.431530952453613,21.138715744018555,10.379474639892578,5.400000095367432
2000-01-26,88.70353698730469,6.640074729919434,6.951615333557129,11.208833694458008,17.3303279876709,19.092058181762695,12.114927291870117,5.406254291534424,21.04345703125,10.454806327819824,5.409999847412109
2000-01-27,88.3492202758789,6.675027370452881,6.809746265411377,11.330671310424805,17.428525924682617,18.905807495117188,12.341293334960938,5.371494293212891,20.91643714904785,10.425838470458984,5.409999847412109
2000-01-28,85.59325408935547,6.561446189880371,6.730932235717773,10.934699058532715,16.9670352935791,18.230592727661133,12.240683555603027,5.343059062957764,20.493022918701172,10.014363288879395,5.46999979019165
2000-01-31,87.91609954833984,6.522130966186523,6.8885650634765625,11.239287376403809,17.084857940673828,18.835956573486328,12.46705436706543,5.589516639709473,20.39775276184082,10.089702606201172,5.53000020980835
2000-02-01,88.78231048583984,6.640074729919434,6.872800350189209,11.300200462341309,16.9670352935791,19.231765747070312,12.341293334960938,5.5484395027160645,20.662385940551758,10.454806327819824,5.550000190734863
2000-02-02,88.86109924316406,6.670660018920898,6.91615104675293,11.185991287231445,16.976852416992188,19.3714656829834,12.366446495056152,5.520003318786621,21.170480728149414,10.385265350341797,5.5
2000-02-03,90.1996841430664,6.557079792022705,6.833395004272461,11.117450714111328,16.9670352935791,19.93025779724121,12.198768615722656,5.510526180267334,21.361005783081055,10.425838470458984,5.429999828338623
2000-02-04,89.82564544677734,6.548341751098633,6.636352062225342,11.00323486328125,17.0357608795166,20.163089752197266,12.190381050109863,5.4820876121521,21.435102462768555,10.408443450927734,5.489999771118164
2000-02-07,89.68792724609375,6.421654224395752,6.711227893829346,10.88901424407959,16.741193771362305,20.395915985107422,12.173613548278809,5.466288089752197,21.08579444885254,10.188223838806152,5.46999979019165
2000-02-08,90.90837860107422,6.404181003570557,6.652114391326904,11.010851860046387,16.8099365234375,20.58218765258789,12.324516296386719,5.478926658630371,21.31867790222168,10.420036315917969,5.519999980926514
2000-02-09,88.9988784790039,6.277496814727783,6.431426525115967,10.751953125,16.63319206237793,20.326068878173828,12.215532302856445,5.478926658630371,20.937597274780273,10.246176719665527,5.489999771118164
2000-02-10,89.17604064941406,6.2250776290893555,6.565417289733887,10.454977989196777,16.348447799682617,20.8091983795166,11.804710388183594,5.399936199188232,20.757658004760742,10.153448104858398,5.5
2000-02-11,87.36494445800781,6.0721755027771,6.486601829528809,10.477825164794922,16.004791259765625,20.256223678588867,11.578340530395508,5.305142879486084,20.768232345581055,10.008566856384277,5.480000019073486
2000-02-14,87.87681579589844,6.172651290893555,6.589062690734863,10.569201469421387,16.26007652282715,20.267864227294922,11.637029647827148,5.311462879180908,20.387174606323242,10.060730934143066,5.460000038146973
2000-02-15,88.87089538574219,6.4391303062438965,6.864920616149902,10.584424018859863,16.54483413696289,20.326068878173828,11.896942138671875,5.298824310302734,20.228391647338867,10.083907127380371,5.579999923706055
2000-02-16,87.56179809570312,6.290600299835205,6.896448135375977,10.363602638244629,16.505542755126953,20.221294403076172,11.72925853729248,5.276702880859375,19.656789779663086,9.689824104309082,5.550000190734863
2000-02-17,87.10903930664062,6.277496814727783,6.8885650634765625,10.234151840209961,16.574281692504883,20.675315856933594,11.55319595336914,5.245106220245361,19.646202087402344,9.41164493560791,5.570000171661377
2000-02-18,85.2388916015625,6.0852861404418945,6.687584400177002,9.868645668029785,16.210981369018555,19.976821899414062,11.419046401977539,5.052367210388184,19.106355667114258,9.27255916595459,5.570000171661377
2000-02-22,85.0223617553711,6.277496814727783,6.628469944000244,9.960029602050781,16.476083755493164,19.93025779724121,11.603501319885254,5.033409118652344,18.96875,9.295737266540527,5.599999904632568
2000-02-23,86.02632904052734,6.20759916305542,6.455073356628418,9.921952247619629,16.348447799682617,20.535612106323242,11.351973533630371,4.929139614105225,19.265125274658203,9.266761779785156,5.639999866485596
2000-02-24,84.29396057128906,5.98480749130249,6.384138107299805,9.716352462768555,16.201169967651367,20.791736602783203,11.117228507995605,4.764831066131592,19.116943359375,8.971199035644531,5.639999866485596
2000-02-25,83.9888687133789,5.888701438903809,6.25803279876709,9.65543270111084,15.916412353515625,20.593814849853516,10.840553283691406,4.739555835723877,18.5241641998291,9.005969047546387,5.619999885559082
2000-02-28,85.75076293945312,5.906175136566162,6.447189807891846,9.967633247375488,15.96551513671875,20.349353790283203,11.050149917602539,4.875420570373535,18.852304458618164,9.330514907836914,5.659999847412109
2000-02-29,86.57756042480469,5.8668599128723145,6.596941947937012,10.036170959472656,16.14224624633789,20.815011978149414,11.008232116699219,4.910181045532227,19.06401824951172,9.527551651000977,5.639999866485596
2000-03-01,87.20745849609375,5.805702209472656,6.762459754943848,10.173232078552246,16.053884506225586,21.024564743041992,10.907626152038574,5.12503719329834,19.22279930114746,9.417445182800293,5.599999904632568
2000-03-02,87.26653289794922,5.679015636444092,6.8885650634765625,10.112314224243164,16.11279296875,21.234107971191406,10.932779312133789,5.257746696472168,19.138113021850586,9.405852317810059,5.590000152587891
2000-03-03,88.90044403076172,5.862490653991699,6.778224945068359,10.203691482543945,16.55463981628418,21.822011947631836,10.874086380004883,5.305142879486084,19.402742385864258,9.579710006713867,5.630000114440918
2000-03-06,88.03425598144531,5.722701549530029,6.738813877105713,10.104700088500977,16.48590660095215,21.78707504272461,10.614185333251953,5.156637191772461,19.02167510986328,9.353693962097168,5.650000095367432
